Processes: 388 total, 4 running, 384 sleeping, 1497 threads 
2019/01/17 15:08:14
Load Avg: 2.87, 2.74, 2.66 
CPU usage: 42.14% user, 19.28% sys, 38.57% idle 
SharedLibs: 250M resident, 64M data, 69M linkedit.
MemRegions: 91607 total, 4912M resident, 202M private, 1082M shared.
PhysMem: 10G used (1556M wired), 1596M unused.
VM: 2565G vsize, 1113M framework vsize, 122878(0) swapins, 207342(0) swapouts.
Networks: packets: 4415501/4137M in, 2541678/316M out.
Disks: 3008177/501G read, 5218720/493G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID        FAULTS   COW     MSGSENT    MSGRECV   SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
49400  Java Updater     0.0  00:03.61 6     2   176+   3980K+ 0B     5412K+ 49400 1     sleeping *0[1+]       0.00000 0.00000    2023764136 21053+   418+    20816+     10148+    183267+    83858+     104959+    73+     10       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
48960  bash             0.0  00:00.05 1     0   19+    124K+  0B     656K+  48960 48959 sleeping *0[1+]       0.00000 0.00000    2023764136 1468+    503+    102+       40+       6769+      182+       152+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
48959  login            0.0  00:00.02 2     1   29+    32K+   0B     1100K+ 48959 1409  sleeping *0[9+]       0.00000 0.00000    0          1695+    211+    128+       30+       1290+      264+       100+       0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
28408  OSDUIHelper      0.0  00:03.39 3     1   161+   4344K+ 280K+  2888K+ 28408 1     sleeping *0[971+]     0.00000 0.00000    2023764136 9782+    342+    44112+     7454+     145184+    165984+    115221+    12+     0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
28405  applessdstatisti 0.0  00:00.01 2     1   32+    328K+  0B     384K+  28405 1     sleeping *0[1+]       0.00000 0.00000    0          1493+    136+    91+        40+       791+       204+       67+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
27559  aslmanager       0.0  00:00.01 2     2   19+    24K+   0B     688K+  27559 1     sleeping *0[1+]       0.00000 0.00000    0          1386+    135+    62+        23+       383+       136+       160+       0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24130  Python           0.0  00:00.09 1     0   14+    140K+  0B     3104K+ 24130 23073 sleeping *0[1+]       0.00000 0.00000    2023764136 1740+    219+    77+        24+       11630+     168+       930+       5+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
23073  bash             0.0  00:00.03 1     0   19+    588K+  0B     176K+  23073 23072 sleeping *0[1+]       0.00000 0.00000    2023764136 1337+    441+    100+       39+       3307+      181+       139+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
23072  login            0.0  00:00.02 2     1   30+    1076K+ 0B     0B     23072 1409  sleeping *0[9+]       0.00000 0.00000    0          1675+    205+    128+       30+       1267+      261+       96+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
22819  Python           0.0  00:00.05 1     0   14+    3284K+ 0B     0B     22819 22813 sleeping *0[1+]       0.00000 0.00000    2023764136 1953+    219+    77+        24+       1958+      168+       336+       274+    0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
22813  bash             0.0  00:00.02 1     0   19+    740K+  0B     0B     22813 22812 sleeping *0[1+]       0.00000 0.00000    2023764136 1167+    329+    94+        36+       1650+      179+       148+       0       0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
22812  login            0.0  00:00.02 2     1   29+    1080K+ 0B     0B     22812 1409  sleeping *0[9+]       0.00000 0.00000    0          1677+    208+    128+       30+       1749+      264+       90+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
22266  FileStatsAgent   0.0  00:01.63 2     1   56+    624K+  0B     3108K+ 22266 1     sleeping  0[0]        0.00000 0.00000    2023764136 8976+    269+    2302+      3293+     90973+     11135+     22705+     13+     0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
22260  periodic-wrapper 0.0  00:00.00 2     2   26+    368K+  0B     0B     22260 1     sleeping *0[1+]       0.00000 0.00000    0          439+     83+     80+        31+       291+       169+       62+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
20367  com.apple.speech 0.0  00:01.29 2     1   45+    9248K+ 0B     6876K+ 20367 1     sleeping *0[1+]       0.00000 0.00000    2023764136 11136+   163+    13416+     10284+    45113+     50880+     23754+     2+      0        0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
19393  java             0.0  51:46:42 17/1  1   71+    6204K+ 0B     4860K+ 2604  2604  running  *0[1+]       0.00000 0.00000    2023764136 103616+  378+    8915+      8787+     7840868+   43145+     20653900+  240+    119      0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
